name,domain,country
National Central University / 國立中央大學,ncu.edu.tw,tw
Università della Calabria (Università degli Studi della Calabria),unical.it,it
University of Akron,uakron.edu,us
Icahn School of Medicine at Mount Sinai,icahn.mssm.edu,us
Hefei University of Technology / 合肥工业大学,hfut.edu.cn,cn
Université de Fribourg / Universität Freiburg,unifr.ch,ch
Beijing (Northern) Jiaotong University / 北京交通大学,bjtu.edu.cn,cn
New Jersey Institute of Technology,njit.edu,us
University of Haifa,haifa.ac.il,il
(1) Kyungpook (Kyungbook) National University / 경북대학교,knu.ac.kr,kr
Università degli Studi di Siena,unisi.it,it
Durham University,dur.ac.uk,uk
Universidade Federal do Paraná,ufpr.br,br
Università degli Studi di Salerno,unisa.it,it
Universidad de Castilla la Mancha,uclm.es,es
Palacký University of Olomouc / Univerzita Palackého v Olomouci UP,upol.cz,cz
University of Portsmouth,port.ac.uk,uk
National Yang Ming University,web.ym.edu.tw,tw
Beijing University of Posts and Telecommunications / 北京邮电大学,bupt.edu.cn,cn
Università degli Studi Roma Tre,uniroma3.it,it
Kyung Hee University / 경희대학교,khu.ac.kr,kr
Northumbria University,northumbria.ac.uk,uk
Karl Franzens Universität Graz,uni-graz.at,at
University of Montana Missoula,umt.edu,us
University of Patras (incl University of Western Greece),upatras.gr,gr
Universiti Sains Malaysia,usm.my,my
Universidade Federal Fluminense,uff.br,br
Worcester Polytechnic Institute,wpi.edu,us
Universidade de Brasília UNB,unb.br,br
Colorado School of Mines,mines.edu,us
(3) University of Kansas Medical Center,kumc.edu,us
Universität Rostock,uni-rostock.de,de
Southwest Jiaotong University / 西南交通大学,swjtu.edu.cn,cn
Universität Bayreuth,uni-bayreuth.de,de
University of Eastern Finland / Itä-Suomen yliopisto,uef.fi,fi
Universiti Putra Malaysia,upm.edu.my,my
Tampere University (TUT+UoT) / Tampereen korkeakouluyhteisö,tuni.fi,fi
San Francisco State University,sfsu.edu,us
Universidad de los Andes Colombia,uniandes.edu.co,co
Université de Lille,univ-lille.fr,fr
University of South Carolina,sc.edu,us
Technische Universität Dortmund,tu-dortmund.de,de
Budapest University of Technology and Economics / Budapesti Műszaki és Gazdaságtudományi Egyetem BME,bme.hu,hu
University of Stirling,stir.ac.uk,uk
Università degli Studi di Verona,univr.it,it
Adam Mickiewicz University Poznan / Uniwersytet Adama Mickiewicza w Poznaniu,amu.edu.pl,pl
University of Zagreb,unizg.hr,hr
Murdoch University,murdoch.edu.au,au
University of Texas El Paso,utep.edu,us
University of Toledo,utoledo.edu,us
Dublin City University,dcu.ie,ie
Università degli Studi di Trieste,units.it,it
Università degli Studi di Cagliari,unica.it,it
Indian Institute of Technology Madras,iitm.ac.in,in
Miami University of Ohio,miamioh.edu,us
University of North Carolina at Greensboro,uncg.edu,us
University of Limerick,ul.ie,ie
Université du Luxembourg,uni.lu,lu
University of Waikato,waikato.ac.nz,nz
North Dakota State University,ndsu.edu,us
Istanbul Technical University / İstanbul Teknik Üniversitesi,itu.edu.tr,tr
Jiangsu University / 江苏大学,ujs.edu.cn,cn
Università degli Studi di Modena e Reggio Emilia,unimore.it,it
